id,user_id,用户昵称,微博正文,话题,转发数,评论数,点赞数,发布时间
4.83931E+15,5899606780,郝郝长大,#郝富申#hfs#陪郝富申漫游世界#?坐标：北京首钢园[冰墩墩][雪容融]首钢园，这个曾有3.4万工人的首钢老厂区，现在成为了奥运文化园，国潮融合工业风，巨大的建筑有伟大的历史。首钢滑雪大跳台，是北京冬奥会的“福地”，也是世界唯一永久保留大跳台场馆。园区正在尽力争取，成为单板和自由式滑雪世界杯中国站永久会址。蓝天映衬，建筑高耸入云，美好又震撼。感叹人类工业文明的强大，也欣慰钢铁身躯可以继续书写辉煌。午安，感恩节快乐@郝富申,"郝富申,陪郝富申漫游世界",0,2,3,2022/11/24 12:40
4.83931E+15,1958663853,打个比方儿,随着北京冬奥会的成功申办举办，这两年走上冰雪的青少年是越来越多了。走进雪场能看到很多学生的训练班，未来的苏翊鸣就在他们中间。其实参与一次冰雪运动的成本高，仍然有家长愿意去投入，而足球呢？越是大城市，越难找到一块能让孩子尽情踢球的球场。反而是在新疆的农村两块砖加一块平地，就能让孩子踢个痛快。失去了培养基础，未来中国足球还有未来吗？@左路内切@玥来越好哦@王亮了,,0,2,0,2022/11/24 12:39
4.83931E+15,2378417387,海瑶影视,咱就是说这话也就王濛敢说！冰上大魔王就是有底气！可太拽了！金妍儿张绍刚短道速滑北京冬奥会L海瑶影视的微博视频,,0,0,0,2022/11/24 12:37
4.83931E+15,3085390490,皓影影视,咱就是说王濛多少有点变脸天赋在身上，真喜剧人呀。北京冬奥会王濛解说L皓影影视的微博视频,,0,0,0,2022/11/24 12:25
4.8393E+15,2748597475,中国青年网,11月25日，#把青春华章写在祖国大地上#大思政课网络主题宣传和互动引导活动将在厦门大学举行。中国科学院院士孙世刚、北京冬奥会冠军武大靖等多位党的二十大代表将在现场开讲别开生面的大思政课。改革开放后最早的公派留学生之一，为何坚定选择回国，又如何在基础薄弱的条件下攀上科学高峰？从“冰雪新国”迈入“冰雪强国”，运动员见证了怎样的改变？海峡两岸的情缘如何在一代代人身上紧紧联结？在第一个定居厦门的外国人眼中，中国是什么样子……一颗爱国心怦动百年，一道数学题惊艳世界。百年前，爱国华侨领袖陈嘉庚创办厦门大学，厦大也成为陈景润数学梦起飞的地方。届时，陈嘉庚长孙陈立人、数学家陈景润之子陈由伟将在活动中讲述背后的动人故事。#二十大代表说#O“把青春华章写在祖国大地上”大思政课网络主题宣传和互动引导活动将举办,"把青春华章写在祖国大地上,二十大代表说",2,0,2,2022/11/24 11:50
4.8393E+15,6365525865,我教你请起立,偶然看到08北京奥运的视频汶川地震后来的甲流冬奥会台港独下面清一色的爱国评论当时国人真的很爱自己的国家甚至在疫情开始的时候都是举国上下一盘棋的现在没人叫好了问是为什么你可能答不出原因但问你怀念当时那种振奋的爱国情吗或许也不怀念因为感觉当时是被“蒙在鼓里”的是没有成为“受害者”的现在大多数人都是牺牲品是这场天灾下的人祸,,0,0,4,2022/11/24 11:43
4.83929E+15,1494769910,东院故事,#日本球迷赛后清理看台垃圾#中国队不争气，没有进世界杯，如果中国队球迷去了，这种有组织的摆拍比他们做得会更好。（北京冬奥会就证明了），别说什么素质不素质的，这两年我们培养了不少戏精。哗众取宠的事，早晚会让人生腻的。真有这么高的素质，别去屠杀鲸鱼啊？别去往海里倒核废水啊？,日本球迷赛后清理看台垃圾,0,0,1,2022/11/24 11:05
4.83928E+15,5458743232,薛之厨,叮咚！我是今日份的小奖章！我在北京2022年冬奥会超话等级达到LV.10，获得知名粉丝头衔，想知道我是怎么获得的吗？来北京2022年冬奥会找我聊聊吧~,,0,0,0,2022/11/24 10:30
4.83927E+15,2012167773,天佳影视,原来冰墩墩真的得蹲当冰墩墩完全站起来！想必那位记者又会震惊一次！冰墩墩北京冬奥会L天佳影视的微博视频,,0,0,0,2022/11/24 10:18
4.83927E+15,6091041759,ordinary平凡866,北京2022年冬奥会#我的冬奥英雄#冬奥结束~爱不落幕~相约冰雪~全国各地开展了冰雪运动~让我们一起运动起来！丶Lordinary平凡866的微博视频,我的冬奥英雄,0,12,11,2022/11/24 10:04
